窗口名称,菜品,价格,味道评价
王记皇.重庆鸡公煲,鸡公煲单人套餐,13.9元,鸡肉紧实入味，搭配土豆、白菜、千叶豆腐，汤汁浓郁醇厚，拌米饭非常下饭，辣度可以自选。
王记皇.重庆鸡公煲,鸡尖煲单人套餐,13.9元,鸡尖软糯，胶质丰富，土豆吸饱汤汁，口感绵密，搭配宽粉、虾饺，食材丰富。
王记皇.重庆鸡公煲,酥肉煲单人套餐,12.9元,酥肉外酥里嫩，久煮不散，配菜吸满煲底酱汁，鲜香浓郁。
王记皇.重庆鸡公煲,排骨煲单人套餐,15.9元,排骨炖得软烂，肉香浓郁，搭配土豆、海带丝，味道厚重鲜香。
曹氏辣卤,麻辣味,1.78元/两,卤味浓郁，麻劲突出，越吃越香
曹氏辣卤,川渝麻辣味（干拌）,1.78元/两,干拌口感，红油香浓，麻辣劲足，配菜入味
曹氏辣卤,香辣味,1.78元/两,香气浓郁，辣度适中，咸香适口，大众接受度高
曹氏辣卤,酸甜麻辣味（干拌）,1.78元/两,酸甜打底，搭配麻辣，口味层次丰
冒菜,红汤,荤素同价1.75元/两,红油醇厚麻辣，香气浓郁，食材吸满汤汁，经典川味
冒菜,藤椒,荤素同价1.75元/两,藤椒清香鲜麻，辣度柔和，麻味清爽不厚重
冒菜,酸汤,荤素同价1.75元/两,酸香开胃，汤底鲜爽，酸辣适口，解腻不呛口
冒菜,番茄,荤素同价1.75元/两,番茄汤底浓郁香甜，口味温和，不吃辣首选
冒菜,干拌,荤素同价1.75元/两,干拌红油香浓，没有汤汁，麻辣干香，越拌越入味
冒菜,清汤,荤素同价1.75元/两,汤底清淡鲜香，保留食材本味，适合口味清淡的同学
汉景自选水饺,香菇鲜肉,1.75元/两,香菇鲜香，肉馅多汁，口感醇厚
汉景自选水饺,玉米鲜肉,1.75元/两,玉米清甜，搭配鲜肉，鲜甜爽口
汉景自选水饺,韭菜鲜肉,1.75元/两,韭菜香气浓郁，肉馅鲜嫩，经典家常口味
汉景自选水饺,酸菜鲜肉,1.75元/两,酸菜酸爽解腻，肉馅紧实，开胃入味
汉景自选水饺,白菜鲜肉,1.75元/两,白菜清甜多汁，肉馅柔和，清淡不腻
汉景自选水饺,大葱鲜肉,1.75元/两,大葱浓香，肉香浓郁，咸香适口
汉景自选水饺,莲藕鲜肉,1.75元/两,莲藕脆爽，肉馅鲜嫩，口感层次丰富
汉景自选水饺,韭菜鸡蛋,1.75元/两,素馅鲜香，韭菜味足，清爽不油腻
汉景自选水饺,奥尔良鸡肉,1.75元/两,鸡肉嫩滑，奥尔良风味香甜，口味独特
汉景自选水饺,牛肉,1.75元/两,牛肉紧实鲜香，肉味浓郁，分量扎实
